year,stage,venue,date_time,summary,team1,score1,team2,score2
2008,,"MATCH 59
DY Patil Stadium, NAVI MUMBAI
JUN, SUN 1 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Chennai Super Kings,163/5,Rajasthan Royals,164/7
2008,,"MATCH 58
Wankhede Stadium, Mumbai
MAY, SAT 31 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 9 WICKETS,Chennai Super Kings,116/1,Punjab Kings,112/8
2008,,"MATCH 57
Wankhede Stadium, Mumbai
MAY, FRI 30 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 105 RUNS,Delhi Daredevils,87,Rajasthan Royals,192/9
2008,,"MATCH 56
IS Bindra Stadium, Mohali
MAY, WED 28 , 8:00 pm IST",,PUNJAB KINGS WON BY 41 RUNS,Punjab Kings,221/3,Rajasthan Royals,180/7
2008,,"MATCH 55
M. Chinnaswamy Stadium, Bengaluru
MAY, WED 28 , 4:00 pm IST",,MUMBAI INDIANS WON BY 9 WICKETS,Royal Challengers Bangalore,122/9,Mumbai Indians,126/1
2008,,"MATCH 54
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, TUE 27 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 7 WICKETS,Deccan Chargers,147/8,Chennai Super Kings,148/3
2008,,"MATCH 53
Sawai Mansingh Stadium, Jaipur
MAY, MON 26 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 5 WICKETS,Rajasthan Royals,146/5,Mumbai Indians,145/7
2008,,"MATCH 52
Eden Gardens, Kolkata
MAY, SUN 25 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 3 WICKETS,Kolkata Knight Riders,175/7,Punjab Kings,174/6
2008,,"MATCH 51
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 25 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,Deccan Chargers,165,Royal Challengers Bangalore,171/5
2008,,"MATCH 50
Arun Jaitley Stadium, Delhi
MAY, SAT 24 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Delhi Daredevils,179/5,Mumbai Indians,180/8
2008,,"MATCH 49
M. A. Chidambaram Stadium, Chennai
MAY, SAT 24 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 10 RUNS,Chennai Super Kings,201/7,Rajasthan Royals,211/5
2008,,"MATCH 48
IS Bindra Stadium, Mohali
MAY, FRI 23 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Punjab Kings,178/4,Deccan Chargers,175/4
2008,,"MATCH 47
Arun Jaitley Stadium, Delhi
MAY, THU 22 , 8:00 pm IST",,MATCH ABANDONED WITHOUT A BALL BOWLED,Delhi Daredevils,,Kolkata Knight Riders,
2008,,"MATCH 46
M. A. Chidambaram Stadium, Chennai
MAY, WED 21 , 8:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 14 RUNS,Chennai Super Kings,112/8,Royal Challengers Bangalore,126/8
2008,,"MATCH 45
Wankhede Stadium, Mumbai
MAY, WED 21 , 4:00 pm IST",,PUNJAB KINGS WON BY 1 RUN,Mumbai Indians,188,Punjab Kings,189/4
2008,,"MATCH 44
Eden Gardens, Kolkata
MAY, TUE 20 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 6 WICKETS,Kolkata Knight Riders,147/8,Rajasthan Royals,150/4
2008,,"MATCH 43
M. Chinnaswamy Stadium, Bengaluru
MAY, MON 19 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 5 WICKETS,Royal Challengers Bangalore,154/7,Delhi Daredevils,158/5
2008,,"MATCH 42
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 18 , 8:00 pm IST",,MUMBAI INDIANS WON BY 25 RUNS,Deccan Chargers,153/7,Mumbai Indians,178/7
2008,,"MATCH 41
Eden Gardens, Kolkata
MAY, SUN 18 , 4:00 pm IST",,CSK WON BY 3 RUNS (D/L METHOD),Kolkata Knight Riders,149/5,Chennai Super Kings,55/0
2008,,"MATCH 40
Arun Jaitley Stadium, Delhi
MAY, SAT 17 , 8:00 pm IST",,KINGS XI PUNJAB WON BY 6 RUNS (D/L METHOD),Delhi Daredevils,118/4,Punjab Kings,94/3
2008,,"MATCH 39
Sawai Mansingh Stadium, Jaipur
MAY, SAT 17 , 4:00 pm IST",,RAJASTHAN ROYALS WON BY 65 RUNS,Rajasthan Royals,197/1,Royal Challengers Bangalore,132/9
2008,,"MATCH 38
Wankhede Stadium, Mumbai
MAY, FRI 16 , 8:00 pm IST",,MUMBAI INDIANS WON BY 8 WICKETS,Mumbai Indians,68/2,Kolkata Knight Riders,67
2008,,"MATCH 37
Arun Jaitley Stadium, Delhi
MAY, THU 15 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 12 RUNS,Delhi Daredevils,194/4,Deccan Chargers,182/9
2008,,"MATCH 36
Wankhede Stadium, Mumbai
MAY, WED 14 , 8:00 pm IST",,MUMBAI INDIANS WON BY 9 WICKETS,Mumbai Indians,158/1,Chennai Super Kings,156/6
2008,,"MATCH 35
Eden Gardens, Kolkata
MAY, TUE 13 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 23 RUNS,Kolkata Knight Riders,133/6,Delhi Daredevils,110
2008,,"MATCH 34
IS Bindra Stadium, Mohali
MAY, MON 12 , 8:00 pm IST",,PUNJAB KINGS WON BY 9 WICKETS,Punjab Kings,144/1,Royal Challengers Bangalore,143/8
2008,,"MATCH 33
Sawai Mansingh Stadium, Jaipur
MAY, SUN 11 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 3 WICKETS,Rajasthan Royals,159/7,Delhi Daredevils,156/7
2008,,"MATCH 32
Rajiv Gandhi Intl. Cricket Stadium, Hyderabad
MAY, SUN 11 , 4:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 23 RUNS,Deccan Chargers,181/7,Kolkata Knight Riders,204/4
2008,,"MATCH 31
M. A. Chidambaram Stadium, Chennai
MAY, SAT 10 , 8:00 pm IST",,CHENNAI SUPER KINGS WON BY 18 RUNS,Chennai Super Kings,181/4,Punjab Kings,163/9
2008,,"MATCH 30
Sawai Mansingh Stadium, Jaipur
MAY, FRI 9 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,141/2,Deccan Chargers,140/8
2008,,"MATCH 29
Eden Gardens, Kolkata
MAY, THU 8 , 8:00 pm IST",,KOLKATA KNIGHT RIDERS WON BY 5 RUNS,Kolkata Knight Riders,129/7,Royal Challengers Bangalore,124/4
2008,,"MATCH 28
Arun Jaitley Stadium, Delhi
MAY, THU 8 , 4:00 pm IST",,CHENNAI SUPER KINGS WON BY 4 WICKETS,Delhi Daredevils,187/5,Chennai Super Kings,188/6
2008,,"MATCH 27
DY Patil Stadium, NAVI MUMBAI
MAY, WED 7 , 8:00 pm IST",,MUMBAI INDIANS WON BY 7 WICKETS,Mumbai Indians,104/3,Rajasthan Royals,103
2008,,"MATCH 26
M. A. Chidambaram Stadium, Chennai
MAY, TUE 6 , 8:00 pm IST",,DECCAN CHARGERS WON BY 7 WICKETS,Chennai Super Kings,144/7,Deccan Chargers,148/3
2008,,"MATCH 25
M. Chinnaswamy Stadium, Bengaluru
MAY, MON 5 , 8:00 pm IST",,PUNJAB KINGS WON BY 6 WICKETS,Royal Challengers Bangalore,126,Punjab Kings,127/4
2008,,"MATCH 24
Sawai Mansingh Stadium, Jaipur
MAY, SUN 4 , 8:00 pm IST",,RAJASTHAN ROYALS WON BY 8 WICKETS,Rajasthan Royals,110/2,Chennai Super Kings,109
2008,,"MATCH 23
DY Patil Stadium, NAVI MUMBAI
MAY, SUN 4 , 4:00 pm IST",,MUMBAI INDIANS WON BY 29 RUNS,Mumbai Indians,162/8,Delhi Daredevils,133
2008,,"MATCH 22
IS Bindra Stadium, Mohali
MAY, SAT 3 , 8:00 pm IST",,PUNJAB KINGS WON BY 9 RUNS,Punjab Kings,178/6,Kolkata Knight Riders,169/6
2008,,"MATCH 21
M. Chinnaswamy Stadium, Bengaluru
MAY, SAT 3 , 4:00 pm IST",,ROYAL CHALLENGERS BANGALORE WON BY 3 RUNS,Royal Challengers Bangalore,156/8,Deccan Chargers,153/6
2008,,"MATCH 20
M. A. Chidambaram Stadium, Chennai
MAY, FRI 2 , 8:00 pm IST",,DELHI DAREDEVILS WON BY 8 WICKETS,Chennai Super Kings,169/6,Delhi Daredevils,172/2
