Pos,Player,Team,Matches,Innings,Not Outs,Runs,HS,Avg,BF,SR,100s,50s,4s,6s,Season
1,Shaun MarshPBKS,DC,616,11,11,2,115,68.44,441,139.68,1,5,59,26,2008
2,Gautam GambhirDC,MI,534,14,14,1,86,41.07,379,140.89,0,5,68,8,2008
3,Sanath JayasuriyaMI,RR,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008
4,Shane WatsonRR,RR,472,15,15,5,76*,47.2,311,151.76,0,4,47,19,2008
5,Graeme SmithRR,PBKS,441,11,11,2,91,49,362,121.82,0,3,54,8,2008
6,Adam GilchristPBKS,RR,436,14,14,1,109*,33.53,318,137.1,1,3,51,19,2008
7,Yusuf PathanRR,CSK,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008
8,Suresh RainaCSK,CSK,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,2008
9,MS DhoniCSK,DC,414,16,14,4,65,41.4,310,133.54,0,2,38,15,2008
10,Virender SehwagDC,DEC,406,14,14,2,94*,33.83,220,184.54,0,3,46,21,2008
11,Rohit SharmaDEC,RCB,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,2008
12,Rahul DravidRCB,KKR,371,14,14,1,75*,28.53,298,124.49,0,2,35,11,2008
13,Sourav GangulyKKR,DC,349,13,13,1,91,29.08,307,113.68,0,3,33,15,2008
14,Shikhar DhawanDC,PBKS,340,14,14,5,68*,37.77,295,115.25,0,4,35,8,2008
15,Kumar SangakkaraPBKS,MI,320,10,9,0,94,35.55,198,161.61,0,4,41,8,2008
16,Robin UthappaMI,KKR,320,14,14,5,48,35.55,279,114.69,0,0,34,9,2008
17,David HusseyKKR,RR,319,13,13,2,71,29,259,123.16,0,2,19,17,2008
18,Swapnil AsnodkarRR,CSK,311,9,9,0,60,34.55,233,133.47,0,2,43,6,2008
19,Parthiv PatelCSK,PBKS,302,13,13,2,54,27.45,297,101.68,0,2,42,3,2008
20,Yuvraj SinghPBKS,DEC,299,15,14,1,57,23,184,162.5,0,1,24,19,2008
21,Venugopal RaoDEC,CSK,288,11,10,2,71*,36,210,137.14,0,2,22,15,2008
22,Albie MorkelCSK,RCB,241,13,10,3,71,34.42,163,147.85,0,1,18,14,2008
23,Mark BoucherRCB,PBKS,225,10,10,3,50*,32.14,177,127.11,0,1,24,6,2008
24,James HopesPBKS,MI,221,11,11,0,71,20.09,148,149.32,0,2,27,8,2008
25,Abhishek NayarMI,RCB,206,14,10,2,45*,25.75,138,149.27,0,0,16,9,2008
26,Jacques KallisRCB,CSK,199,11,11,0,54,18.09,183,108.74,0,1,23,4,2008
27,Stephen FlemingCSK,KKR,196,10,10,1,45,21.77,164,119.51,0,0,27,3,2008
28,Salman ButtKKR,CSK,193,7,7,0,73,27.57,161,119.87,0,1,30,2,2008
29,Subramaniam BadrinathCSK,CSK,192,16,11,5,64,32,130,147.69,0,2,21,8,2008
30,Matthew HaydenCSK,KKR,189,4,4,1,81,63,131,144.27,0,2,24,6,2008
31,Brendon McCullumKKR,MI,188,4,4,1,158*,62.66,92,204.34,1,0,13,15,2008
32,Sachin TendulkarMI,PBKS,188,7,7,1,65,31.33,177,106.21,0,1,26,2,2008
33,Mahela JayawardenaPBKS,MI,179,13,12,5,45*,25.57,131,136.64,0,0,15,7,2008
34,Dwayne BravoMI,RR,178,9,7,1,64*,29.66,134,132.83,0,1,19,5,2008
35,Mohammad KaifRR,CSK,176,16,14,3,34*,16,171,102.92,0,0,14,6,2008
36,Michael HusseyCSK,DEC,168,4,3,1,116*,84,100,168,1,0,12,11,2008
37,Herschelle GibbsDEC,RCB,167,9,9,0,47,18.55,153,109.15,0,0,17,8,2008
38,Virat KohliRCB,KKR,165,13,12,1,38,15,157,105.09,0,0,18,4,2008
39,Laxmi Ratan ShuklaKKR,DEC,163,13,12,4,42,20.37,122,133.6,0,0,17,5,2008
40,Andrew SymondsDEC,KKR,161,4,3,1,117*,80.5,105,153.33,1,0,15,9,2008
41,Wriddhiman SahaKKR,DEC,159,12,10,5,59*,31.8,119,133.61,0,1,12,7,2008
42,VVS LaxmanDEC,PBKS,155,6,6,1,52,31,132,117.42,0,1,22,1,2008
43,Luke PomersbachPBKS,RCB,152,5,5,4,79*,152,99,153.53,0,1,13,9,2008
44,Ross TaylorRCB,MI,149,4,4,0,53,37.25,81,183.95,0,1,13,10,2008
45,Shaun PollockMI,CSK,147,13,8,0,33,18.37,111,132.43,0,0,12,8,2008
46,Vidyut SivaramakrishnanCSK,DC,145,9,8,0,54,18.12,109,133.02,0,1,21,3,2008
47,Dinesh KarthikDC,RR,145,13,8,2,56*,24.16,107,135.51,0,1,13,4,2008
48,Ravindra JadejaRR,PBKS,135,14,9,2,36*,19.28,103,131.06,0,0,11,6,2008
49,Irfan PathanPBKS,RR,131,14,10,4,40,21.83,116,112.93,0,0,9,6,2008
50,Kamran AkmalRR,DC,128,6,6,1,53*,25.6,78,164.1,0,1,13,8,2008
51,MF MaharoofDC,RCB,125,10,8,2,39,20.83,79,158.22,0,0,10,7,2008
52,Misbah-ul-HaqRCB,RCB,117,8,8,1,47*,16.71,81,144.44,0,0,10,6,2008
53,Wasim JafferRCB,RCB,115,6,6,0,50,19.16,104,110.57,0,1,12,3,2008
54,Cameron WhiteRCB,DEC,114,8,8,1,31*,16.28,102,111.76,0,0,8,4,2008
55,Scott StyrisDEC,RCB,112,8,8,2,36*,18.66,123,91.05,0,0,9,2,2008
56,Praveen KumarRCB,DEC,112,13,12,2,34,11.2,98,114.28,0,0,10,6,2008
57,Dwaraka Ravi TejaDEC,DC,109,7,6,0,40,18.16,82,132.92,0,0,10,5,2008
58,Tillakaratne DilshanDC,DC,104,7,7,1,33,17.33,79,131.64,0,0,14,3,2008
59,Manoj TiwaryDC,RR,104,9,7,3,39,26,85,122.35,0,0,16,0,2008
60,Niraj PatelRR,KKR,103,5,4,2,57,51.5,81,127.16,0,1,13,1,2008
61,Debabrata DasKKR,PBKS,103,6,6,0,31,17.16,94,109.57,0,0,9,5,2008
62,Simon KatichPBKS,DC,96,2,2,1,75,96,69,139.13,0,1,11,2,2008
63,AB de VilliersDC,PBKS,95,6,6,1,26*,19,98,96.93,0,0,5,1,2008
64,Piyush ChawlaPBKS,RCB,90,15,7,3,24*,22.5,59,152.54,0,0,10,3,2008
65,Shreevats GoswamiRCB,DEC,82,4,3,0,52,27.33,85,96.47,0,1,9,1,2008
66,Shahid AfridiDEC,PBKS,81,10,9,1,33,10.12,46,176.08,0,0,7,6,2008
67,Karan GoelPBKS,PBKS,76,7,6,0,26,12.66,78,97.43,0,0,7,4,2008
68,Ramnaresh SarwanPBKS,RR,73,4,4,0,31,18.25,75,97.33,0,0,6,1,2008
69,Shane WarneRR,KKR,70,15,7,2,22*,14,59,118.64,0,0,7,2,2008
70,Ajit AgarkarKKR,DC,54,9,6,1,20,10.8,46,117.39,0,0,5,2,2008
71,Shoaib MalikDC,DEC,52,7,5,1,24,13,47,110.63,0,0,5,0,2008
72,Arjun YadavDEC,DEC,49,8,6,1,16,9.8,39,125.64,0,0,5,2,2008
73,Sanjay BangarDEC,RCB,47,11,7,1,17*,7.83,49,95.91,0,0,1,3,2008
74,Balachandra AkhilRCB,MI,46,7,7,4,27*,15.33,31,148.38,0,0,4,3,2008
75,Dwayne SmithMI,KKR,45,4,3,0,20,15,40,112.5,0,0,5,1,2008
76,Aakash ChopraKKR,DEC,42,5,5,0,24,8.4,52,80.76,0,0,5,0,2008
77,LPC SilvaDEC,KKR,40,3,3,1,23*,20,26,153.84,0,0,5,1,2008
78,Ricky PontingKKR,MI,39,4,4,0,20,9.75,53,73.58,0,0,2,1,2008
79,Dominic ThornelyMI,KKR,39,6,4,2,30,19.5,53,73.58,0,0,2,2,2008
80,Umar GulKKR,DC,39,6,4,1,24,13,19,205.26,0,0,1,5,2008
81,Amit MishraDC,RR,37,6,3,0,31,12.33,42,88.09,0,0,3,0,2008
82,Sohail TanvirRR,CSK,36,11,5,2,13,12,29,124.13,0,0,3,1,2008
83,Manpreet GonyCSK,MI,35,16,5,4,15*,35,23,152.17,0,0,2,3,2008
84,Luke RonchiMI,MI,34,4,4,0,13,8.5,32,106.25,0,0,6,1,2008
85,Pinal ShahMI,DC,34,5,4,0,19,8.5,35,97.14,0,0,4,0,2008
86,Rajat BhatiaDC,RR,34,9,3,1,17,17,28,121.42,0,0,2,2,2008
87,Mahesh RawatRR,RCB,34,11,7,3,23*,8.5,39,87.17,0,0,3,1,2008
88,Zaheer KhanRCB,RR,34,11,8,4,17*,8.5,43,79.06,0,0,4,0,2008
89,Dinesh SalunkheRR,KKR,33,6,3,1,26*,16.5,24,137.5,0,0,5,0,2008
90,Tatenda TaibuKKR,MI,31,3,3,0,15,10.33,26,119.23,0,0,3,0,2008
91,Harbhajan SinghMI,KKR,30,3,3,1,28,15,17,176.47,0,0,1,3,2008
92,Murali KartikKKR,PBKS,30,6,3,0,17,10,27,111.11,0,0,3,0,2008
93,Ramesh PowarPBKS,DEC,28,5,1,1,28*,0,21,133.33,0,0,4,1,2008
94,RP SinghDEC,MI,27,14,9,5,10,6.75,24,112.5,0,0,2,1,2008
95,Saurabh TiwaryMI,PBKS,26,3,2,0,17,13,20,130,0,0,3,1,2008
96,Wilkin MotaPBKS,RCB,26,4,2,1,25,26,27,96.29,0,0,2,0,2008
97,Shivnarine ChanderpaulRCB,RCB,25,3,3,0,16,8.33,31,80.64,0,0,4,0,2008
98,Vinay KumarRCB,MI,25,8,4,1,23,8.33,22,113.63,0,0,2,1,2008
99,Musavir KhoteMI,RCB,24,4,3,1,9,12,22,109.09,0,0,2,1,2008
