POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w,Season
1,Sohail Tanvir RR,22,11,11,41,266,6/14,12.09,6.46,11.22,1,1,2008
2,Shane Warne RR,19,15,15,52,404,4/21,21.26,7.76,16.42,0,0,2008
3,Shanthakumaran Sreesanth PBKS,19,15,15,51,442,3/29,23.26,8.63,16.15,0,0,2008
4,Piyush Chawla PBKS,17,15,15,47,389,4/17,22.88,8.3,16.52,0,0,2008
5,Albie Morkel CSK,17,13,13,48,399,4/1,23.47,8.31,16.94,1,0,2008
6,Shane Watson RR,17,15,15,54,383,4/29,22.52,7.07,19.11,0,0,2008
7,Manpreet Gony CSK,17,16,16,60,443,3/31,26.05,7.38,21.17,0,0,2008
8,Yo Mahesh DC,16,11,11,42,370,4/1,23.12,8.77,15.81,1,0,2008
9,Irfan Pathan PBKS,15,14,14,53,350,3/24,23.33,6.6,21.2,0,0,2008
10,RP Singh DEC,15,14,14,51,442,4/22,29.46,8.61,20.53,0,0,2008
11,MF Maharoof DC,15,10,10,36,249,3/1,16.6,6.91,14.4,0,0,2008
12,Munaf Patel RR,14,15,15,55,420,5/21,30,7.63,23.57,0,0,2008
13,Zaheer Khan RCB,13,11,11,42,357,4/17,27.46,8.5,19.38,0,0,2008
14,Siddharth Trivedi RR,13,15,15,48,399,4/25,30.69,8.31,22.15,0,0,2008
15,Ashish Nehra MI,12,14,14,45,348,4/10,29,7.76,22.41,0,0,2008
16,Glenn McGrath DC,12,14,14,54,357,4/29,29.75,6.61,27,1,0,2008
17,Umar Gul KKR,12,6,6,22,184,4/23,15.33,8.17,11.25,1,0,2008
18,Lakshmipathy Balaji CSK,11,9,9,33,286,5/24,26,8.66,18,0,1,2008
19,Shaun Pollock MI,11,13,13,46,301,3/12,27.36,6.54,25.09,0,0,2008
20,Amit Mishra DC,11,6,6,20,142,5/17,12.9,7.15,10.81,0,1,2008
21,Dwayne Bravo MI,11,9,9,28,232,4/22,21.09,8.14,15.54,0,0,2008
22,Muttiah Muralitharan CSK,11,15,15,58,404,3/11,36.72,6.96,31.63,0,0,2008
23,Dhawal Kulkarni MI,11,10,10,29,236,4/14,21.45,8,16.09,0,0,2008
24,Vikram Singh PBKS,11,13,13,48,420,3/29,38.18,8.75,26.18,0,0,2008
25,Pragyan Ojha DEC,11,13,12,37,284,3/11,25.81,7.67,20.18,0,0,2008
26,Praveen Kumar RCB,11,13,13,44,366,3/18,33.27,8.19,24.36,0,0,2008
27,Dilhara Fernando MI,10,5,5,20,160,4/18,16,8,12,1,0,2008
28,Dale Steyn RCB,10,10,10,38,252,3/11,25.2,6.63,22.8,0,0,2008
29,Shahid Afridi DEC,9,10,10,30,225,3/28,25,7.5,20,0,0,2008
30,Ajit Agarkar KKR,8,9,9,26,207,3/25,25.87,7.96,19.5,0,0,2008
31,Mohammad Asif DC,8,8,8,32,296,2/19,37,9.25,24,0,0,2008
32,Joginder Sharma CSK,8,8,7,24,239,2/27,29.87,9.68,18.5,0,0,2008
33,Ashok Dinda KKR,8,13,12,38,258,4/18,32.25,6.78,28.5,0,0,2008
34,Yusuf Pathan RR,8,16,13,28,230,3/20,28.75,8.16,21.12,0,0,2008
35,Ishant Sharma KKR,8,13,13,43,331,5/12,41.37,7.66,32.37,0,0,2008
